DEPARTMENT,COMMODITY_DESC,AVG_PRICE,AVG_UNITS_SOLD,NUM_OBSERVATIONS,PRICE_ELASTICITY_PROXY,ELASTICITY_CATEGORY
GROCERY,DRY NOODLES/PASTA,3.78,17.10,3350,-0.2482,Moderately Elastic
GROCERY,REFRGRATD JUICES/DRNKS,3.8,16.82,5896,-0.2221,Moderately Elastic
PASTRY,CAKES,3.77,16.92,916,-0.1766,Low Elasticity
GROCERY,PNT BTR/JELLY/JAMS,3.82,16.59,3858,-0.2386,Moderately Elastic
PRODUCE,CITRUS,3.8,16.83,1928,-0.2248,Moderately Elastic
GROCERY,ICE CREAM/MILK/SHERBTS,3.82,16.74,5791,-0.2531,Moderately Elastic
DRUG GM,CANDY - PACKAGED,3.81,16.82,7420,-0.2663,Moderately Elastic
GROCERY,LAUNDRY DETERGENTS,3.75,16.99,2135,-0.2029,Moderately Elastic
GROCERY,SEAFOOD - SHELF STABLE,3.86,16.88,1828,-0.2532,Moderately Elastic
DRUG GM,SPRING/SUMMER SEASONAL,3.82,16.72,1218,-0.29,Moderately Elastic
GROCERY,BAKING NEEDS,3.84,16.91,3352,-0.2513,Moderately Elastic
GROCERY,FRZN BREAKFAST FOODS,3.81,16.86,2339,-0.2121,Moderately Elastic
PASTRY,ROLLS,3.77,16.84,912,-0.2146,Moderately Elastic
DRUG GM,COOKWARE & BAKEWARE,3.87,16.56,611,-0.26,Moderately Elastic
PRODUCE,TOMATOES,3.79,16.94,1018,-0.2903,Moderately Elastic
PRODUCE,GRAPES,3.87,16.56,815,-0.2742,Moderately Elastic
GROCERY,BEANS - CANNED GLASS & MW,3.84,16.69,3761,-0.234,Moderately Elastic
DRUG GM,AUTOMOTIVE PRODUCTS,3.82,17.36,305,-0.177,Low Elasticity
GROCERY,DINNER MXS:DRY,3.82,16.92,3456,-0.2518,Moderately Elastic
PRODUCE,VALUE ADDED VEGETABLES,3.75,17.13,710,-0.1894,Low Elasticity
NUTRITION,FITNESS&DIET,3.92,17.32,508,-0.3122,Moderately Elastic
COSMETICS,MAKEUP AND TREATMENT,3.85,16.81,1219,-0.2582,Moderately Elastic
